Nivel Educativo;Rango Edad;Canton;Distrito;Provincia;IsGrandTotalRowTotal;DistinctCountsnb003_id_persona
"";"";"";"";"";True;5343400
"";"0-12años Niños";"";"";"";False;59859
"";"0-12años Niños";"ABANGARES";"COLORADO";"GUANACASTE";False;101
"";"0-12años Niños";"ABANGARES";"LA SIERRA";"GUANACASTE";False;66
"";"0-12años Niños";"ABANGARES";"LAS JUNTAS";"GUANACASTE";False;185
"";"0-12años Niños";"ABANGARES";"SAN JUAN";"GUANACASTE";False;30
"";"0-12años Niños";"ACOSTA";"CANGREJAL";"SAN JOSE";False;30
"";"0-12años Niños";"ACOSTA";"GUAITIL";"SAN JOSE";False;70
"";"0-12años Niños";"ACOSTA";"PALMICHAL";"SAN JOSE";False;143
"";"0-12años Niños";"ACOSTA";"SABANILLAS";"SAN JOSE";False;30
"";"0-12años Niños";"ACOSTA";"SAN IGNACIO";"SAN JOSE";False;292
"";"0-12años Niños";"AGUIRRE";"NARANJITO";"PUNTARENAS";False;107
"";"0-12años Niños";"AGUIRRE";"QUEPOS";"PUNTARENAS";False;472
"";"0-12años Niños";"AGUIRRE";"SAVEGRE";"PUNTARENAS";False;57
"";"0-12años Niños";"ALAJUELA";"ALAJUELA";"ALAJUELA";False;743
"";"0-12años Niños";"ALAJUELA";"CARRIZAL";"ALAJUELA";False;276
"";"0-12años Niños";"ALAJUELA";"DESAMPARADOS";"ALAJUELA";False;480
"";"0-12años Niños";"ALAJUELA";"GARITA";"ALAJUELA";False;166
"";"0-12años Niños";"ALAJUELA";"GUACIMA";"ALAJUELA";False;868
"";"0-12años Niños";"ALAJUELA";"RIO SEGUNDO";"ALAJUELA";False;342
"";"0-12años Niños";"ALAJUELA";"SABANILLA";"ALAJUELA";False;271
"";"0-12años Niños";"ALAJUELA";"SAN ANTONIO";"ALAJUELA";False;814
"";"0-12años Niños";"ALAJUELA";"SAN ISIDRO";"ALAJUELA";False;337
"";"0-12años Niños";"ALAJUELA";"SAN JOSE";"ALAJUELA";False;885
"";"0-12años Niños";"ALAJUELA";"SAN RAFAEL";"ALAJUELA";False;629
"";"0-12años Niños";"ALAJUELA";"SARAPIQUI";"ALAJUELA";False;37
"";"0-12años Niños";"ALAJUELA";"TAMBOR";"ALAJUELA";False;407
"";"0-12años Niños";"ALAJUELA";"TURRUCARES";"ALAJUELA";False;198
"";"0-12años Niños";"ALAJUELITA";"ALAJUELITA";"SAN JOSE";False;319
"";"0-12años Niños";"ALAJUELITA";"CONCEPCION";"SAN JOSE";False;513
"";"0-12años Niños";"ALAJUELITA";"SAN ANTONIO";"SAN JOSE";False;150
"";"0-12años Niños";"ALAJUELITA";"SAN FELIPE";"SAN JOSE";False;732
"";"0-12años Niños";"ALAJUELITA";"SAN JOSECITO";"SAN JOSE";False;298
"";"0-12años Niños";"ALVARADO";"CAPELLADES";"CARTAGO";False;96
"";"0-12años Niños";"ALVARADO";"CERVANTES";"CARTAGO";False;206
"";"0-12años Niños";"ALVARADO";"PACAYAS";"CARTAGO";False;213
"";"0-12años Niños";"ASERRI";"ASERRI";"SAN JOSE";False;966
"";"0-12años Niños";"ASERRI";"LA LEGUA";"SAN JOSE";False;19
"";"0-12años Niños";"ASERRI";"MONTERREY";"SAN JOSE";False;11
"";"0-12años Niños";"ASERRI";"SALITRILLOS";"SAN JOSE";False;273
"";"0-12años Niños";"ASERRI";"SAN GABRIEL";"SAN JOSE";False;163
"";"0-12años Niños";"ASERRI";"TARBACA";"SAN JOSE";False;59
"";"0-12años Niños";"ASERRI";"VUELTA DE JORCO";"SAN JOSE";False;206
"";"0-12años Niños";"ATENAS";"ATENAS";"ALAJUELA";False;205
"";"0-12años Niños";"ATENAS";"CONCEPCION";"ALAJUELA";False;131
"";"0-12años Niños";"ATENAS";"ESCOBAL";"ALAJUELA";False;14
"";"0-12años Niños";"ATENAS";"JESUS";"ALAJUELA";False;74
"";"0-12años Niños";"ATENAS";"MERCEDES";"ALAJUELA";False;148
"";"0-12años Niños";"ATENAS";"SAN ISIDRO";"ALAJUELA";False;75
"";"0-12años Niños";"ATENAS";"SAN JOSE";"ALAJUELA";False;52
"";"0-12años Niños";"ATENAS";"SANTA EULALIA";"ALAJUELA";False;76
"";"0-12años Niños";"BAGACES";"BAGACES";"GUANACASTE";False;328
"";"0-12años Niños";"BAGACES";"FORTUNA";"GUANACASTE";False;65
"";"0-12años Niños";"BAGACES";"MOGOTE";"GUANACASTE";False;95
"";"0-12años Niños";"BAGACES";"RIO NARANJO";"GUANACASTE";False;16
