Nivel Educativo;Sexo;Canton;Distrito;Provincia;IsGrandTotalRowTotal;DistinctCountsnb003_id_persona
"";"";"";"";"";True;5343400
"";"";"";"";"";False;6516
"";"";"ABANGARES";"COLORADO";"GUANACASTE";False;1
"";"";"ABANGARES";"LAS JUNTAS";"GUANACASTE";False;2
"";"";"ACOSTA";"GUAITIL";"SAN JOSE";False;1
"";"";"ACOSTA";"SAN IGNACIO";"SAN JOSE";False;4
"";"";"AGUIRRE";"NARANJITO";"PUNTARENAS";False;3
"";"";"AGUIRRE";"QUEPOS";"PUNTARENAS";False;8
"";"";"AGUIRRE";"SAVEGRE";"PUNTARENAS";False;1
"";"";"ALAJUELA";"ALAJUELA";"ALAJUELA";False;3
"";"";"ALAJUELA";"CARRIZAL";"ALAJUELA";False;4
"";"";"ALAJUELA";"DESAMPARADOS";"ALAJUELA";False;1
"";"";"ALAJUELA";"SABANILLA";"ALAJUELA";False;9
"";"";"ALAJUELA";"SAN ISIDRO";"ALAJUELA";False;3
"";"";"ALAJUELA";"SAN JOSE";"ALAJUELA";False;1
"";"";"ALAJUELA";"TAMBOR";"ALAJUELA";False;2
"";"";"ALAJUELA";"TURRUCARES";"ALAJUELA";False;2
"";"";"ALAJUELITA";"ALAJUELITA";"SAN JOSE";False;2
"";"";"ALAJUELITA";"SAN ANTONIO";"SAN JOSE";False;2
"";"";"ALAJUELITA";"SAN FELIPE";"SAN JOSE";False;2
"";"";"ALVARADO";"CERVANTES";"CARTAGO";False;3
"";"";"ALVARADO";"PACAYAS";"CARTAGO";False;1
"";"";"ASERRI";"ASERRI";"SAN JOSE";False;4
"";"";"ASERRI";"SALITRILLOS";"SAN JOSE";False;1
"";"";"ASERRI";"SAN GABRIEL";"SAN JOSE";False;1
"";"";"ASERRI";"TARBACA";"SAN JOSE";False;1
"";"";"ASERRI";"VUELTA DE JORCO";"SAN JOSE";False;3
"";"";"ATENAS";"ATENAS";"ALAJUELA";False;8
"";"";"ATENAS";"JESUS";"ALAJUELA";False;2
"";"";"ATENAS";"MERCEDES";"ALAJUELA";False;4
"";"";"ATENAS";"SAN ISIDRO";"ALAJUELA";False;2
"";"";"ATENAS";"SAN JOSE";"ALAJUELA";False;2
"";"";"BAGACES";"BAGACES";"GUANACASTE";False;4
"";"";"BAGACES";"FORTUNA";"GUANACASTE";False;7
"";"";"BAGACES";"MOGOTE";"GUANACASTE";False;2
"";"";"BARVA";"BARVA";"HEREDIA";False;2
"";"";"BARVA";"SAN JOSE DE LA MONTAÑA";"HEREDIA";False;2
"";"";"BARVA";"SAN PABLO";"HEREDIA";False;12
"";"";"BARVA";"SAN PEDRO";"HEREDIA";False;6
"";"";"BARVA";"SANTA LUCIA";"HEREDIA";False;1
"";"";"BELEN";"ASUNCION";"HEREDIA";False;4
"";"";"BUENOS AIRES";"BIOLLEY";"PUNTARENAS";False;1
"";"";"BUENOS AIRES";"BUENOS AIRES";"PUNTARENAS";False;9
"";"";"BUENOS AIRES";"CHANGUENA";"PUNTARENAS";False;1
"";"";"BUENOS AIRES";"PILAS";"PUNTARENAS";False;1
"";"";"BUENOS AIRES";"POTRERO GRANDE";"PUNTARENAS";False;5
"";"";"BUENOS AIRES";"VOLCAN";"PUNTARENAS";False;3
"";"";"CAÑAS";"BEBEDERO";"GUANACASTE";False;5
"";"";"CAÑAS";"CAÑAS";"GUANACASTE";False;6
"";"";"CAÑAS";"POROZAL";"GUANACASTE";False;1
"";"";"CAÑAS";"SAN MIGUEL";"GUANACASTE";False;3
"";"";"CARRILLO";"FILADELFIA";"GUANACASTE";False;4
"";"";"CARRILLO";"PALMIRA";"GUANACASTE";False;6
"";"";"CARRILLO";"SARDINAL";"GUANACASTE";False;1
"";"";"CARTAGO";"CARMEN";"CARTAGO";False;1
"";"";"CARTAGO";"CORRALILLO";"CARTAGO";False;2
"";"";"CARTAGO";"DULCE NOMBRE";"CARTAGO";False;1
"";"";"CARTAGO";"GUADALUPE";"CARTAGO";False;4
"";"";"CARTAGO";"OCCIDENTAL";"CARTAGO";False;1
"";"";"CARTAGO";"QUEBRADILLA";"CARTAGO";False;2
"";"";"CARTAGO";"SAN FRANCISCO";"CARTAGO";False;6
"";"";"CARTAGO";"SAN NICOLAS";"CARTAGO";False;5
"";"";"CORREDORES";"CANOAS";"PUNTARENAS";False;6
"";"";"CORREDORES";"CORREDOR";"PUNTARENAS";False;8
"";"";"CORREDORES";"LAUREL";"PUNTARENAS";False;12
"";"";"COTO BRUS";"GUTIERREZ BROWN";"PUNTARENAS";False;7
"";"";"COTO BRUS";"LIMONCITO";"PUNTARENAS";False;8
"";"";"COTO BRUS";"PITTIER";"PUNTARENAS";False;3
"";"";"COTO BRUS";"SABALITO";"PUNTARENAS";False;9
"";"";"COTO BRUS";"SAN VITO";"PUNTARENAS";False;8
"";"";"CURRIDABAT";"CURRIDABAT";"SAN JOSE";False;1
"";"";"CURRIDABAT";"GRANADILLA";"SAN JOSE";False;2
"";"";"CURRIDABAT";"TIRRASES";"SAN JOSE";False;3
"";"";"DESAMPARADOS";"DAMAS";"SAN JOSE";False;7
"";"";"DESAMPARADOS";"LOS GUIDO";"SAN JOSE";False;1
"";"";"DESAMPARADOS";"PATARRA";"SAN JOSE";False;2
"";"";"DESAMPARADOS";"ROSARIO";"SAN JOSE";False;1
"";"";"DESAMPARADOS";"SAN ANTONIO";"SAN JOSE";False;3
"";"";"DESAMPARADOS";"SAN JUAN DE DIOS";"SAN JOSE";False;1
"";"";"DESAMPARADOS";"SAN MIGUEL";"SAN JOSE";False;6
"";"";"DESAMPARADOS";"SAN RAFAEL ARRIBA";"SAN JOSE";False;1
"";"";"DOTA";"COPEY";"SAN JOSE";False;3
"";"";"DOTA";"SANTA MARIA";"SAN JOSE";False;3
"";"";"EL GUARCO";"SAN ISIDRO";"CARTAGO";False;2
"";"";"EL GUARCO";"TEJAR";"CARTAGO";False;6
"";"";"EL GUARCO";"TOBOSI";"CARTAGO";False;1
"";"";"ESCAZU";"ESCAZU";"SAN JOSE";False;2
"";"";"ESCAZU";"SAN ANTONIO";"SAN JOSE";False;2
"";"";"ESCAZU";"SAN RAFAEL";"SAN JOSE";False;2
"";"";"ESPARZA";"CALDERA";"PUNTARENAS";False;1
"";"";"ESPARZA";"ESPIRITU SANTO";"PUNTARENAS";False;1
"";"";"ESPARZA";"MACACONA";"PUNTARENAS";False;1
"";"";"ESPARZA";"SAN JERONIMO";"PUNTARENAS";False;1
"";"";"GARABITO";"JACO";"PUNTARENAS";False;8
"";"";"GARABITO";"TARCOLES";"PUNTARENAS";False;2
"";"";"GOICOECHEA";"CALLE BLANCOS";"SAN JOSE";False;1
"";"";"GOLFITO";"GOLFITO";"PUNTARENAS";False;7
"";"";"GOLFITO";"GUAYCARA";"PUNTARENAS";False;6
"";"";"GOLFITO";"PAVON";"PUNTARENAS";False;4
"";"";"GRECIA";"BOLIVAR";"ALAJUELA";False;2
"";"";"GRECIA";"GRECIA";"ALAJUELA";False;3
"";"";"GRECIA";"PUENTE DE PIEDRA";"ALAJUELA";False;2
"";"";"GRECIA";"RIO CUARTO";"ALAJUELA";False;2
"";"";"GRECIA";"SAN ISIDRO";"ALAJUELA";False;1
"";"";"GRECIA";"SAN JOSE";"ALAJUELA";False;1
"";"";"GRECIA";"SAN ROQUE";"ALAJUELA";False;4
"";"";"GRECIA";"TACARES";"ALAJUELA";False;1
"";"";"GUACIMO";"DUACARI";"LIMON";False;1
"";"";"GUACIMO";"GUACIMO";"LIMON";False;1
"";"";"GUACIMO";"RIO JIMENEZ";"LIMON";False;1
"";"";"GUATUSO";"COTE";"ALAJUELA";False;1
"";"";"GUATUSO";"KATIRA";"ALAJUELA";False;2
"";"";"GUATUSO";"SAN RAFAEL";"ALAJUELA";False;2
"";"";"HEREDIA";"MERCEDES";"HEREDIA";False;4
"";"";"HEREDIA";"SAN FRANCISCO";"HEREDIA";False;4
"";"";"HEREDIA";"ULLOA";"HEREDIA";False;2
"";"";"HOJANCHA";"HOJANCHA";"GUANACASTE";False;1
"";"";"HOJANCHA";"PUERTO CARRILLO";"GUANACASTE";False;1
"";"";"JIMENEZ";"TUCURRIQUE";"CARTAGO";False;3
"";"";"LA CRUZ";"LA CRUZ";"GUANACASTE";False;3
"";"";"LA CRUZ";"SANTA CECILIA";"GUANACASTE";False;3
"";"";"LA UNION";"CONCEPCION";"CARTAGO";False;9
"";"";"LA UNION";"DULCE NOMBRE";"CARTAGO";False;9
"";"";"LA UNION";"RIO AZUL";"CARTAGO";False;1
"";"";"LA UNION";"SAN DIEGO";"CARTAGO";False;2
"";"";"LA UNION";"SAN JUAN";"CARTAGO";False;1
"";"";"LA UNION";"SAN RAFAEL";"CARTAGO";False;3
"";"";"LA UNION";"TRES RIOS";"CARTAGO";False;7
"";"";"LEON CORTES";"LLANO BONITO";"SAN JOSE";False;2
"";"";"LEON CORTES";"SAN ANDRES";"SAN JOSE";False;1
"";"";"LEON CORTES";"SAN ISIDRO";"SAN JOSE";False;2
"";"";"LEON CORTES";"SAN PABLO";"SAN JOSE";False;2
"";"";"LEON CORTES";"SANTA CRUZ";"SAN JOSE";False;1
"";"";"LIBERIA";"CAÑAS DULCES";"GUANACASTE";False;4
"";"";"LIBERIA";"CURUBANDE";"GUANACASTE";False;2
"";"";"LIBERIA";"LIBERIA";"GUANACASTE";False;9
"";"";"LIBERIA";"MAYORGA";"GUANACASTE";False;2
"";"";"LIMON";"LIMON";"LIMON";False;4
"";"";"LIMON";"RIO BLANCO";"LIMON";False;1
"";"";"LIMON";"VALLE LA ESTRELLA";"LIMON";False;15
"";"";"LOS CHILES";"CAÑO NEGRO";"ALAJUELA";False;1
"";"";"LOS CHILES";"EL AMPARO";"ALAJUELA";False;1
"";"";"LOS CHILES";"LOS CHILES";"ALAJUELA";False;17
"";"";"MATINA";"BATAN";"LIMON";False;7
"";"";"MATINA";"CARRANDI";"LIMON";False;5
"";"";"MATINA";"MATINA";"LIMON";False;8
"";"";"MONTES DE OCA";"MERCEDES";"SAN JOSE";False;1
"";"";"MONTES DE OCA";"SAN RAFAEL";"SAN JOSE";False;1
"";"";"MONTES DE ORO";"MIRAMAR";"PUNTARENAS";False;3
"";"";"MONTES DE ORO";"SAN ISIDRO";"PUNTARENAS";False;2
"";"";"MONTEVERDE";"MONTEVERDE";"PUNTARENAS";False;4
"";"";"MORA";"COLON";"SAN JOSE";False;4
"";"";"MORA";"TARBACIA";"SAN JOSE";False;2
"";"";"MORAVIA";"SAN JERONIMO";"SAN JOSE";False;1
"";"";"NANDAYURE";"CARMONA";"GUANACASTE";False;2
"";"";"NANDAYURE";"SAN PABLO";"GUANACASTE";False;2
"";"";"NANDAYURE";"SANTA RITA";"GUANACASTE";False;2
"";"";"NARANJO";"CIRRI SUR";"ALAJUELA";False;3
"";"";"NARANJO";"NARANJO";"ALAJUELA";False;12
"";"";"NARANJO";"PALMITOS";"ALAJUELA";False;3
"";"";"NARANJO";"SAN JERONIMO";"ALAJUELA";False;2
"";"";"NARANJO";"SAN JOSE";"ALAJUELA";False;6
"";"";"NARANJO";"SAN JUAN";"ALAJUELA";False;5
"";"";"NARANJO";"SAN MIGUEL";"ALAJUELA";False;2
"";"";"NICOYA";"BELEN DE NOSARITA";"GUANACASTE";False;10
"";"";"NICOYA";"MANSION";"GUANACASTE";False;14
"";"";"NICOYA";"NICOYA";"GUANACASTE";False;12
"";"";"NICOYA";"SAMARA";"GUANACASTE";False;2
"";"";"NICOYA";"SAN ANTONIO";"GUANACASTE";False;8
"";"";"OREAMUNO";"CIPRESES";"CARTAGO";False;1
"";"";"OREAMUNO";"COT";"CARTAGO";False;3
"";"";"OREAMUNO";"SAN RAFAEL";"CARTAGO";False;6
"";"";"OREAMUNO";"SANTA ROSA";"CARTAGO";False;1
"";"";"OROTINA";"MASTATE";"ALAJUELA";False;1
"";"";"OROTINA";"OROTINA";"ALAJUELA";False;2
"";"";"OSA";"BAHIA BALLENA";"PUNTARENAS";False;1
"";"";"OSA";"BAHIA DRAKE";"PUNTARENAS";False;2
"";"";"OSA";"PALMAR";"PUNTARENAS";False;8
"";"";"OSA";"PIEDRAS BLANCAS";"PUNTARENAS";False;7
"";"";"OSA";"PUERTO CORTES";"PUNTARENAS";False;6
"";"";"PALMARES";"BUENOS AIRES";"ALAJUELA";False;13
"";"";"PALMARES";"ESQUIPULAS";"ALAJUELA";False;9
"";"";"PALMARES";"GRANJA";"ALAJUELA";False;2
"";"";"PALMARES";"PALMARES";"ALAJUELA";False;2
"";"";"PALMARES";"ZARAGOZA";"ALAJUELA";False;1
"";"";"PARAISO";"CACHI";"CARTAGO";False;4
"";"";"PARAISO";"LLANOS SANTA LUCIA";"CARTAGO";False;4
"";"";"PARAISO";"OROSI";"CARTAGO";False;7
"";"";"PARAISO";"PARAISO";"CARTAGO";False;9
"";"";"PARAISO";"SANTIAGO";"CARTAGO";False;5
"";"";"PARRITA";"PARRITA";"PUNTARENAS";False;9
"";"";"PEREZ ZELEDON";"CAJON";"SAN JOSE";False;5
"";"";"PEREZ ZELEDON";"DANIEL FLORES";"SAN JOSE";False;16
"";"";"PEREZ ZELEDON";"GENERAL";"SAN JOSE";False;4
"";"";"PEREZ ZELEDON";"LA AMISTAD";"SAN JOSE";False;1
"";"";"PEREZ ZELEDON";"PARAMO";"SAN JOSE";False;5
"";"";"PEREZ ZELEDON";"PEJIBAYE";"SAN JOSE";False;1
"";"";"PEREZ ZELEDON";"RIO NUEVO";"SAN JOSE";False;1
"";"";"PEREZ ZELEDON";"RIVAS";"SAN JOSE";False;1
"";"";"PEREZ ZELEDON";"SAN ISIDRO DEL GENERAL";"SAN JOSE";False;12
"";"";"PEREZ ZELEDON";"SAN PEDRO";"SAN JOSE";False;2
"";"";"POAS";"SABANA REDONDA";"ALAJUELA";False;1
"";"";"POAS";"SAN PEDRO";"ALAJUELA";False;4
"";"";"POAS";"SAN RAFAEL";"ALAJUELA";False;1
"";"";"POCOCI";"CARIARI";"LIMON";False;7
