Canton;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
San José;79,230;80,166;80,651;80,532;81,100;80,694;81,261;80,969;81,831;82,597;80,666
Escazú;80,502;81,980;80,103;81,190;80,364;81,167;79,964;79,620;81,071;80,734;81,688
Desamparados;78,273;78,948;79,342;79,676;78,681;79,131;79,639;80,270;80,653;81,275;80,092
Puriscal;80,661;80,599;82,605;81,983;81,996;84,154;81,944;82,968;82,904;81,625;82,922
Tarrazú;79,614;78,976;80,116;83,848;83,352;80,098;79,916;78,949;80,591;81,489;79,381
Aserrí;79,266;78,008;81,783;80,045;80,629;80,972;79,519;79,448;79,193;80,533;78,558
Mora;83,808;80,226;81,652;82,060;81,328;80,787;82,285;82,234;82,127;80,448;80,047
Goicoechea;80,498;79,546;81,534;81,665;81,881;81,198;81,758;79,740;80,900;81,033;80,800
Santa Ana;82,136;82,843;83,725;81,374;82,596;82,421;81,479;81,312;82,202;83,346;82,721
Alajuelita;77,434;78,008;78,568;78,839;78,872;78,599;78,858;79,855;80,079;80,482;79,458
Vázquez de Coronado;78,490;79,509;80,246;81,082;79,860;81,724;80,418;80,210;81,172;80,508;81,321
Acosta;81,636;80,545;85,000;80,818;79,944;83,432;78,960;82,406;79,395;82,159;81,838
Tibás;79,255;81,509;81,559;81,680;80,186;82,997;83,099;82,421;82,519;83,336;82,231
Moravia;80,897;82,862;84,306;82,851;82,575;82,108;80,816;82,918;81,427;81,493;82,790
Montes de Oca;82,818;83,141;85,000;83,647;84,332;84,742;85,000;85,000;85,000;84,937;85,000
Turrubares;82,820;79,629;81,345;85,000;85,000;79,783;80,426;85,000;81,197;78,538;82,719
Dota;73,358;85,000;76,009;74,534;78,994;82,745;80,449;77,778;81,686;74,724;75,746
Curridabat;81,947;84,773;81,588;84,708;82,995;84,694;81,748;83,582;83,824;84,223;83,233
Pérez Zeledón;79,153;80,437;80,542;80,447;80,255;79,906;80,285;79,993;82,472;81,782;81,737
León Cortes;77,819;83,429;82,392;83,968;78,342;81,060;80,429;78,473;85,000;79,898;81,947
Alajuela;79,616;80,828;80,869;81,127;80,844;80,562;80,229;81,293;81,143;81,584;81,415
San Ramón;80,547;81,846;82,540;83,656;82,331;82,472;81,341;82,998;81,172;83,854;80,854
Grecia;80,067;82,751;80,772;81,025;80,277;82,729;82,181;82,114;81,643;82,162;82,010
San Mateo;85,000;84,499;83,929;82,888;85,000;83,763;82,473;80,801;85,000;84,687;84,931
Atenas;79,157;79,980;81,528;81,593;84,025;81,641;79,571;83,289;81,330;81,750;82,015
Naranjo;81,133;80,531;80,413;80,269;81,342;81,060;78,319;80,880;83,403;81,724;83,258
Palmares;80,280;81,664;81,323;80,776;81,451;83,240;83,284;81,686;81,800;81,818;82,087
Poás;80,583;81,077;79,764;81,312;82,081;82,247;82,257;80,233;80,780;81,555;82,940
Orotina;78,289;80,929;78,329;79,496;78,442;78,977;80,151;79,068;80,800;82,203;81,415
San Carlos;80,665;82,093;81,174;82,250;81,817;81,176;80,532;80,784;80,755;81,516;82,088
Zarcero;80,881;82,534;78,615;79,611;79,625;78,539;80,151;78,792;83,048;80,528;80,840
Sarchí;81,246;85,000;82,051;85,000;79,844;84,278;81,897;79,730;80,481;79,439;81,830
Upala;82,352;81,642;83,407;83,554;79,952;81,618;80,783;80,709;81,670;81,172;79,914
Los Chiles;81,160;84,092;82,183;82,878;81,755;84,446;81,526;83,588;82,836;82,112;82,483
Guatuso;82,936;82,895;79,662;83,136;82,665;84,959;81,612;83,759;81,152;82,780;85,000
Río Cuarto;;;;;;;;;;85,000;85,000
Cartago;80,839;80,100;81,356;81,366;81,168;81,833;80,322;79,818;80,783;81,143;81,466
Paraíso;83,030;79,934;81,935;81,350;80,513;81,605;81,945;81,190;80,602;78,484;81,254
La Unión;81,531;83,067;80,798;80,883;83,172;82,136;81,242;81,926;82,061;83,361;81,662
