Canton;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
San José;0,638;0,677;0,687;0,694;0,695;0,697;0,702;0,701;0,702;0,702;0,642
Escazú;0,817;0,857;0,876;0,895;0,906;0,906;0,913;0,914;0,913;0,918;0,852
Desamparados;0,580;0,617;0,633;0,645;0,652;0,651;0,659;0,658;0,656;0,659;0,604
Puriscal;0,531;0,572;0,594;0,606;0,619;0,619;0,634;0,635;0,639;0,645;0,600
Tarrazú;0,448;0,485;0,504;0,514;0,523;0,529;0,545;0,549;0,551;0,558;0,517
Aserrí;0,543;0,581;0,607;0,622;0,633;0,633;0,645;0,645;0,646;0,650;0,600
Mora;0,639;0,680;0,709;0,730;0,743;0,747;0,767;0,770;0,777;0,791;0,747
Goicoechea;0,621;0,659;0,672;0,677;0,682;0,681;0,686;0,685;0,682;0,682;0,623
Santa Ana;0,807;0,843;0,876;0,895;0,906;0,906;0,913;0,914;0,913;0,918;0,852
Alajuelita;0,519;0,555;0,572;0,579;0,580;0,579;0,585;0,582;0,582;0,582;0,546
Vázquez de Coronado;0,660;0,697;0,715;0,725;0,736;0,733;0,741;0,740;0,739;0,735;0,681
Acosta;0,496;0,538;0,564;0,585;0,597;0,601;0,619;0,622;0,628;0,634;0,585
Tibás;0,610;0,648;0,654;0,662;0,661;0,658;0,655;0,650;0,643;0,635;0,576
Moravia;0,706;0,745;0,763;0,770;0,776;0,777;0,785;0,787;0,784;0,784;0,729
Montes de Oca;0,719;0,758;0,769;0,776;0,783;0,784;0,792;0,794;0,792;0,792;0,727
Turrubares;0,251;0,292;0,361;0,399;0,444;0,449;0,487;0,497;0,499;0,517;0,478
Dota;0,328;0,373;0,423;0,448;0,480;0,481;0,509;0,513;0,515;0,530;0,492
Curridabat;0,712;0,750;0,766;0,775;0,782;0,783;0,793;0,794;0,794;0,797;0,739
Pérez Zeledón;0,507;0,528;0,498;0,528;0,540;0,551;0,575;0,551;0,586;0,601;0,611
León Cortes;0,435;0,476;0,490;0,501;0,511;0,511;0,522;0,522;0,522;0,526;0,483
Alajuela;0,594;0,630;0,656;0,671;0,685;0,689;0,709;0,712;0,716;0,725;0,680
San Ramón;0,532;0,574;0,599;0,613;0,625;0,630;0,649;0,653;0,657;0,664;0,617
Grecia;0,565;0,606;0,628;0,639;0,649;0,650;0,664;0,665;0,665;0,689;0,642
San Mateo;0,261;0,298;0,341;0,363;0,378;0,405;0,431;0,424;0,438;0,434;0,398
Atenas;0,556;0,597;0,625;0,640;0,654;0,656;0,672;0,675;0,674;0,684;0,634
Naranjo;0,527;0,569;0,593;0,604;0,614;0,616;0,629;0,631;0,632;0,636;0,587
Palmares;0,567;0,604;0,621;0,633;0,639;0,638;0,648;0,646;0,648;0,653;0,607
Poás;0,529;0,568;0,596;0,612;0,631;0,634;0,655;0,659;0,662;0,665;0,615
Orotina;0,558;0,585;0,600;0,610;0,607;0,636;0,652;0,643;0,657;0,641;0,595
San Carlos;0,718;0,703;0,727;0,731;0,717;0,709;0,722;0,717;0,708;0,674;0,650
Zarcero;0,556;0,609;0,622;0,632;0,644;0,674;0,714;0,737;0,741;0,747;0,686
Sarchí;0,501;0,546;0,565;0,575;0,591;0,591;0,606;0,609;0,608;0,613;0,567
Upala;0,514;0,512;0,551;0,570;0,564;0,560;0,581;0,582;0,574;0,529;0,505
Los Chiles;0,466;0,459;0,500;0,515;0,503;0,498;0,520;0,515;0,512;0,473;0,446
Guatuso;0,554;0,550;0,576;0,588;0,570;0,563;0,574;0,571;0,561;0,518;0,497
Río Cuarto;;;;;;;;;;0,555;0,530
Cartago;0,644;0,687;0,711;0,726;0,734;0,737;0,740;0,752;0,725;0,751;0,695
Paraíso;0,608;0,652;0,679;0,698;0,712;0,713;0,721;0,729;0,712;0,734;0,678
La Unión;0,649;0,686;0,720;0,737;0,749;0,753;0,770;0,773;0,777;0,781;0,729
Jiménez;0,491;0,540;0,566;0,577;0,595;0,598;0,618;0,622;0,629;0,636;0,589
Turrialba;0,536;0,582;0,610;0,628;0,651;0,648;0,661;0,662;0,663;0,668;0,620
Alvarado;0,582;0,624;0,650;0,671;0,688;0,709;0,733;0,762;0,736;0,759;0,706
Oreamuno;0,660;0,702;0,734;0,751;0,766;0,736;0,710;0,687;0,661;0,684;0,626
El Guarco;0,640;0,684;0,713;0,735;0,752;0,749;0,752;0,761;0,735;0,765;0,712
Heredia;0,704;0,746;0,767;0,778;0,784;0,788;0,801;0,803;0,804;0,805;0,752
Barva;0,646;0,682;0,712;0,720;0,726;0,732;0,748;0,751;0,754;0,762;0,712
Santo Domingo;0,686;0,723;0,750;0,764;0,771;0,775;0,788;0,790;0,792;0,798;0,748
Santa Bárbara;0,621;0,657;0,688;0,699;0,710;0,711;0,725;0,726;0,726;0,742;0,690
San Rafael;0,678;0,726;0,755;0,769;0,780;0,778;0,789;0,787;0,789;0,789;0,738
San Isidro;0,736;0,786;0,811;0,822;0,831;0,832;0,842;0,843;0,843;0,846;0,796
Belén;0,777;0,815;0,836;0,844;0,852;0,852;0,858;0,860;0,853;0,856;0,804
Flores;0,641;0,678;0,716;0,734;0,741;0,744;0,757;0,760;0,760;0,768;0,722
San Pablo;0,647;0,700;0,724;0,744;0,762;0,765;0,784;0,788;0,795;0,804;0,761
Sarapiquí;0,607;0,589;0,612;0,628;0,615;0,600;0,609;0,597;0,586;0,548;0,530
Liberia;0,559;0,577;0,568;0,564;0,590;0,655;0,660;0,647;0,660;0,672;0,581
Nicoya;0,542;0,561;0,553;0,547;0,571;0,638;0,640;0,632;0,637;0,648;0,559
Santa Cruz;0,563;0,581;0,570;0,563;0,585;0,652;0,652;0,643;0,649;0,659;0,568
Bagaces;0,498;0,514;0,507;0,505;0,537;0,600;0,607;0,595;0,606;0,615;0,525
Carrillo;0,549;0,567;0,558;0,552;0,575;0,642;0,643;0,634;0,641;0,651;0,560
Cañas;0,517;0,536;0,529;0,526;0,548;0,612;0,609;0,598;0,601;0,603;0,513
Abangares;0,500;0,555;0,544;0,541;0,571;0,637;0,643;0,634;0,648;0,660;0,571
Tilarán;0,471;0,490;0,488;0,486;0,516;0,583;0,588;0,581;0,586;0,598;0,511
