Cantón;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
San José;0,746;0,771;0,780;0,776;0,788;0,779;0,786;0,783;0,791;0,797;0,758
Escazú;0,827;0,855;0,845;0,868;0,861;0,874;0,866;0,865;0,879;0,879;0,867
Desamparados;0,708;0,730;0,741;0,749;0,745;0,749;0,757;0,764;0,767;0,774;0,743
Puriscal;0,692;0,711;0,739;0,736;0,750;0,764;0,756;0,767;0,770;0,762;0,755
Tarrazú;0,622;0,638;0,658;0,687;0,696;0,668;0,675;0,672;0,689;0,700;0,668
Aserrí;0,693;0,700;0,743;0,744;0,748;0,761;0,755;0,757;0,757;0,772;0,737
Mora;0,774;0,764;0,789;0,803;0,804;0,802;0,823;0,825;0,828;0,819;0,801
Goicoechea;0,752;0,760;0,782;0,783;0,791;0,783;0,790;0,773;0,782;0,783;0,758
Santa Ana;0,832;0,852;0,872;0,860;0,875;0,877;0,873;0,873;0,883;0,896;0,871
Alajuelita;0,662;0,683;0,697;0,711;0,705;0,713;0,719;0,727;0,730;0,735;0,712
Vázquez de Coronado;0,752;0,777;0,792;0,807;0,799;0,819;0,812;0,812;0,821;0,815;0,801
Acosta;0,673;0,687;0,734;0,710;0,717;0,743;0,719;0,750;0,730;0,753;0,731
Tibás;0,741;0,776;0,780;0,791;0,774;0,803;0,803;0,797;0,795;0,799;0,766
Moravia;0,798;0,830;0,849;0,844;0,841;0,842;0,835;0,855;0,842;0,843;0,835
Montes de Oca;0,827;0,845;0,866;0,860;0,867;0,875;0,880;0,881;0,881;0,881;0,857
Turrubares;0,539;0,552;0,605;0,668;0,679;0,664;0,690;0,730;0,705;0,696;0,712
Dota;0,530;0,636;0,604;0,610;0,660;0,696;0,696;0,680;0,714;0,665;0,660
Curridabat;0,799;0,837;0,817;0,852;0,837;0,858;0,838;0,855;0,858;0,863;0,835
Pérez Zeledón;0,661;0,684;0,675;0,689;0,695;0,699;0,713;0,702;0,738;0,741;0,746
León Cortes;0,606;0,666;0,667;0,690;0,650;0,683;0,686;0,674;0,724;0,692;0,690
Alajuela;0,718;0,746;0,758;0,768;0,772;0,773;0,779;0,790;0,792;0,800;0,784
