Canton;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
San José;338502,1;380496,7;391501,9;399545,2;400496,5;402941,6;409795,9;408714,8;409307,2;409352,6;342630,4
Escazú;577757,9;651780,9;689531,4;729601,4;754935,5;754987,8;770619,3;772684,6;769907,7;781130,6;642091,5
Desamparados;284056,9;317729,0;333492,0;344968,6;352431,6;351897,2;359566,5;359491,5;356434,8;359650,5;305575,9
Puriscal;245481,7;277211,8;296118,9;307057,6;319201,5;319456,2;333923,2;334798,8;338757,1;345729,0;301931,3
Tarrazú;191077,8;213808,4;226005,7;233275,8;239480,6;243873,9;255552,0;258693,9;260819,7;266394,2;235289,1
Aserrí;254609,4;284861,4;308558,6;322185,1;333212,6;333161,2;344770,3;345683,8;346064,7;350837,6;301822,8
Mora;339067,1;383295,2;418709,9;445331,8;463148,8;469263,9;496919,6;501408,0;512814,7;535177,9;468699,4
Goicoechea;321768,9;360139,9;374128,2;379561,9;386042,9;384889,4;390794,6;389587,9;385830,7;385356,6;323370,0
Santa Ana;561684,0;625701,8;689531,4;729601,4;754935,5;754987,8;770619,3;772684,6;769907,7;781130,6;642091,5
Alajuelita;236939,4;263426,1;277723,6;282957,2;283745,3;283496,0;288476,4;285447,3;285773,9;286278,3;256963,1
Vázquez de Coronado;360855,5;403045,0;426207,1;438661,5;453082,4;449642,4;460970,4;458858,3;457259,8;452637,1;383994,0
Acosta;220639,4;250925,0;270815,0;288559,9;299161,2;302833,3;319644,3;322662,5;328415,7;333840,0;288368,6
Tibás;310712,4;348226,3;354238,0;363800,8;362428,9;358915,9;355258,1;350925,8;343331,7;334828,0;280815,6
Moravia;414927,5;465734,6;490953,1;501476,9;510620,3;512961,2;524956,2;528083,8;524242,1;523692,2;444422,0
Montes de Oca;430571,3;484452,2;500726,8;510424,1;521369,5;523755,7;535700,2;538841,9;536413,2;535645,8;441235,9
Turrubares;105959,2;120068,3;147244,9;165302,0;188962,5;191969,5;215319,8;221444,2;222617,2;235614,6;209459,5
Dota;133547,0;152694,4;177396,4;191542,6;210811,1;211500,5;229961,2;232573,2;233916,2;244802,5;217992,0
Curridabat;422099,5;472863,0;496383,1;509181,7;521048,9;522715,1;537948,9;539253,7;539569,7;545128,2;458213,4
Pérez Zeledón;228545,2;242924,3;222382,3;243148,9;252159,5;260840,7;279726,3;260590,6;289387,9;302800,6;311769,3
León Cortes;183998,9;208280,5;217054,2;224367,4;231081,0;231232,8;238796,8;238517,9;238764,7;241508,0;212232,6
Alajuela;296239,4;330324,7;356975,3;373759,7;389400,2;394298,2;417659,3;421584,2;427367,5;438466,9;383393,4
San Ramón;246107,5;279111,4;300405,6;313948,0;325053,1;330235,0;349149,3;353547,4;357515,6;365643,0;317860,2
Grecia;271765,8;306925,4;328415,9;338801,1;349271,2;350963,3;365198,7;367053,0;366808,9;393641,9;342039,1
