Cantón;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
San José;0,780;0,785;0,788;0,772;0,792;0,774;0,774;0,774;0,774;0,774;0,775
Escazú;0,794;0,798;0,802;0,820;0,811;0,829;0,832;0,836;0,839;0,842;0,846
Desamparados;0,759;0,761;0,766;0,768;0,774;0,776;0,779;0,782;0,785;0,786;0,789
Puriscal;0,713;0,719;0,728;0,721;0,746;0,739;0,747;0,754;0,761;0,760;0,761
Tarrazú;0,634;0,646;0,657;0,653;0,677;0,655;0,662;0,669;0,678;0,683;0,687
Aserrí;0,732;0,737;0,744;0,772;0,756;0,785;0,793;0,800;0,806;0,812;0,818
Mora;0,752;0,759;0,767;0,776;0,781;0,784;0,789;0,794;0,797;0,799;0,800
Goicoechea;0,786;0,788;0,791;0,786;0,798;0,792;0,793;0,793;0,794;0,794;0,796
Santa Ana;0,776;0,781;0,786;0,794;0,794;0,804;0,809;0,814;0,819;0,824;0,828
Alajuelita;0,712;0,718;0,723;0,755;0,734;0,766;0,770;0,775;0,778;0,782;0,786
Vázquez de Coronado;0,793;0,798;0,804;0,816;0,813;0,827;0,832;0,837;0,841;0,844;0,845
Acosta;0,680;0,690;0,700;0,695;0,721;0,715;0,726;0,733;0,739;0,734;0,735
Tibás;0,798;0,802;0,806;0,827;0,812;0,835;0,837;0,840;0,841;0,843;0,846
Moravia;0,816;0,818;0,820;0,833;0,824;0,838;0,841;0,844;0,846;0,849;0,851
Montes de Oca;0,839;0,841;0,844;0,855;0,849;0,860;0,861;0,863;0,864;0,865;0,866
Turrubares;0,667;0,678;0,686;0,748;0,707;0,767;0,776;0,782;0,790;0,798;0,806
Dota;0,679;0,690;0,701;0,722;0,721;0,750;0,760;0,771;0,779;0,786;0,794
Curridabat;0,785;0,786;0,790;0,806;0,796;0,814;0,817;0,820;0,822;0,825;0,828
Pérez Zeledón;0,684;0,698;0,707;0,712;0,719;0,725;0,730;0,734;0,740;0,745;0,750
León Cortes;0,645;0,650;0,653;0,677;0,664;0,703;0,713;0,721;0,729;0,738;0,745
Alajuela;0,737;0,748;0,753;0,757;0,762;0,767;0,772;0,776;0,780;0,784;0,788
San Ramón;0,727;0,732;0,740;0,748;0,751;0,760;0,766;0,771;0,777;0,782;0,788
Grecia;0,730;0,736;0,743;0,751;0,756;0,764;0,771;0,777;0,782;0,793;0,799
San Mateo;0,696;0,698;0,703;0,726;0,714;0,740;0,748;0,755;0,762;0,769;0,775
Atenas;0,740;0,747;0,753;0,756;0,766;0,770;0,776;0,781;0,787;0,792;0,793
Naranjo;0,732;0,738;0,746;0,752;0,758;0,764;0,771;0,777;0,784;0,789;0,796
Palmares;0,755;0,758;0,764;0,769;0,771;0,777;0,782;0,786;0,791;0,792;0,793
Poás;0,716;0,723;0,729;0,736;0,743;0,749;0,755;0,761;0,766;0,771;0,776
Orotina;0,711;0,717;0,723;0,716;0,737;0,728;0,733;0,737;0,740;0,742;0,746
San Carlos;0,675;0,684;0,693;0,702;0,710;0,718;0,726;0,732;0,739;0,745;0,751
Zarcero;0,698;0,699;0,704;0,711;0,716;0,722;0,727;0,733;0,734;0,740;0,746
Sarchí;0,709;0,716;0,725;0,730;0,739;0,747;0,753;0,760;0,767;0,774;0,782
Upala;0,639;0,649;0,661;0,671;0,680;0,690;0,699;0,705;0,712;0,719;0,722
Los Chiles;0,580;0,588;0,596;0,604;0,609;0,617;0,623;0,628;0,628;0,631;0,633
Guatuso;0,628;0,635;0,642;0,651;0,656;0,668;0,677;0,683;0,691;0,700;0,709
Río Cuarto;;;;;;;;;;0,733;0,741
Cartago;0,748;0,762;0,767;0,771;0,778;0,778;0,782;0,785;0,787;0,789;0,793
Paraíso;0,718;0,725;0,733;0,740;0,748;0,753;0,759;0,765;0,770;0,774;0,778
La Unión;0,761;0,765;0,771;0,775;0,778;0,784;0,788;0,793;0,796;0,799;0,803
Jiménez;0,696;0,701;0,708;0,755;0,721;0,780;0,789;0,799;0,807;0,816;0,824
Turrialba;0,698;0,704;0,709;0,708;0,721;0,717;0,724;0,728;0,734;0,738;0,743
Alvarado;0,691;0,699;0,707;0,685;0,723;0,699;0,705;0,711;0,718;0,721;0,725
Oreamuno;0,741;0,746;0,752;0,769;0,766;0,786;0,794;0,802;0,808;0,815;0,822
El Guarco;0,721;0,728;0,735;0,744;0,749;0,764;0,774;0,784;0,792;0,800;0,808
Heredia;0,797;0,798;0,800;0,792;0,804;0,795;0,797;0,799;0,800;0,802;0,804
Barva;0,765;0,768;0,771;0,791;0,776;0,798;0,802;0,805;0,807;0,810;0,813
Santo Domingo;0,791;0,793;0,797;0,799;0,802;0,805;0,808;0,812;0,814;0,817;0,821
Santa Bárbara;0,756;0,760;0,766;0,781;0,776;0,794;0,801;0,807;0,812;0,818;0,824
San Rafael;0,764;0,768;0,772;0,778;0,779;0,786;0,790;0,793;0,796;0,799;0,802
San Isidro;0,776;0,780;0,784;0,796;0,792;0,807;0,811;0,816;0,821;0,827;0,832
Belén;0,782;0,788;0,793;0,807;0,805;0,819;0,824;0,829;0,833;0,837;0,841
Flores;0,769;0,772;0,775;0,757;0,780;0,755;0,755;0,758;0,760;0,760;0,760
San Pablo;0,802;0,804;0,806;0,818;0,810;0,824;0,827;0,829;0,831;0,834;0,836
Sarapiquí;0,595;0,613;0,625;0,636;0,646;0,656;0,666;0,676;0,684;0,689;0,699
Liberia;0,694;0,712;0,718;0,721;0,729;0,732;0,738;0,742;0,745;0,749;0,753
